created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
Tue Dec 05 14:43:37 +0000 2023,1732048082823688541,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (8) #JIN #진 #석진 #BTS #방탄소년단 https://t.co/7OHZ4OzMwh,7,0,695,2047,en,1324060291903057920,1732048082823688541,amabile_suga,https://twitter.com/amabile_suga/status/1732048082823688541,https://pbs.twimg.com/media/GAl4c6rbIAAshMW.jpg,
Wed Nov 29 14:38:33 +0000 2023,1729872479068516398,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (1) #SUGA #슈가 #윤기 #BTS #방탄소년단 https://t.co/ZLASGEetmh,72,5,1390,4637,en,1324060291903057920,1729872479068516398,amabile_suga,https://twitter.com/amabile_suga/status/1729872479068516398,https://pbs.twimg.com/media/GAG9zAYbUAAA3Xk.jpg,
Wed Nov 29 00:08:52 +0000 2023,1729653615738994777,"Butter"" by #BTS has surpassed 1.190 Billion streams on Spotify! https://t.co/8rMX586qt3""",0,7,323,947,en,1647085592147292161,1729653615738994777,Bangtan7_Stream,https://twitter.com/Bangtan7_Stream/status/1729653615738994777,https://pbs.twimg.com/media/GAD2yrkXoAAaM_u.jpg,1 Admin (ia)
Tue Dec 05 13:56:48 +0000 2023,1732036301635903933,#BTS we'll be waiting for you… https://t.co/RsU8o9EtsW,2,7,118,254,en,1083536345618960384,1732036301635903933,xdebbsxx,https://twitter.com/xdebbsxx/status/1732036301635903933,https://pbs.twimg.com/ext_tw_video_thumb/1732036264046837760/pu/img/3njoToRsPamFd73w.jpg,•she/her 
Tue Dec 05 13:00:49 +0000 2023,1732022212117561452,#bts : until we meet again💌 https://t.co/1nJsyP0ULk,0,3,23,76,en,1359746271561486338,1732022212117561452,ilysfmyunki,https://twitter.com/ilysfmyunki/status/1732022212117561452,https://pbs.twimg.com/ext_tw_video_thumb/1732022064822075392/pu/img/vvpqd_dnCyclOKS1.jpg, myg's | she/they | solos dni 
Wed Dec 06 09:00:22 +0000 2023,1732324089711476801,YET TO COME 200M PROJECT  Play playlist = https://t.co/ez296NXOya  ‼️Target 200 M before 2023 End.  🔑200M FOR YET TO COME  MV #YetToCome #BTS,0,21,79,50,en,1657570488661704704,1732324089711476801,apobangpobase2,https://twitter.com/apobangpobase2/status/1732324089711476801,,Magic Shop
Tue Dec 05 17:41:14 +0000 2023,1732092782674837979,.@BTS_twt Monthly Listeners — Spotify  #BTS: 30 973 589 (+19 631) #RM: 3 247 295 (+7 717) #JIN: 2 592 298 (+18 509) #SUGA: 2 618 901 (+6 989) #AgustD: 4 124 467 (+14 054) #JHOPE: 3 730 832 (+8 388) #JIMIN: 7 019 011 (+19 955) #V: 7 204 210 (-27 941) #JUNGKOOK: 39 543 107… https://t.co/XZ6YCA1A9U,10,13,685,1498,en,1647085592147292161,1732092782674837979,Bangtan7_Stream,https://twitter.com/Bangtan7_Stream/status/1732092782674837979,https://pbs.twimg.com/media/GAmhNIkXAAAWJk0.jpg,1 Admin (ia)
Tue Dec 05 14:58:51 +0000 2023,1732051914937033150,Miss you 🐨🐻🐥🐰💜  #BTS #btsfanart https://t.co/iDTirnwZtn,4,12,424,1235,en,862583388196282369,1732051914937033150,vantedraws_,https://twitter.com/vantedraws_/status/1732051914937033150,https://pbs.twimg.com/media/GAl71zvaIAAJ-Jx.jpg,she!they
Thu Nov 30 01:57:38 +0000 2023,1730043379256340819,K-media reports that #BTS #JIMIN &amp; #JUNGKOOK will receive their basic training under assistant instructor #JIN https://t.co/A5lN5UcEI7,989,178,2104,18915,en,21366823,1730043379256340819,allkpop,https://twitter.com/allkpop/status/1730043379256340819,,Worldwide
Mon Dec 04 08:05:46 +0000 2023,1731585571087097874,Sriya practicing/learning BTS IDOL during her live #BLACKSWAN #BTS https://t.co/lrPPJxdDup,0,0,8,69,en,1228833581713305606,1731585571087097874,NSalinne,https://twitter.com/NSalinne/status/1731585571087097874,https://pbs.twimg.com/ext_tw_video_thumb/1731585444494581760/pu/img/n52CEUBdDHQb1hvv.jpg,
